Expiry,ATM Fwd,ATM Vol,Put Vol,Call Vol,Skew,Smile,Call Wing,Put Wing
15 May 2026,402.22,44.99%,139.88%,50.33%,-0.60,16.49,0.71,1.73
22 May 2026,402.44,44.82%,112.02%,47.53%,-0.43,9.65,0.58,1.40
29 May 2026,402.78,43.87%,97.37%,45.84%,-0.35,7.39,0.54,1.22
5 Jun 2026,402.88,43.58%,88.52%,44.94%,-0.31,5.77,0.56,1.17
12 Jun 2026,402.89,44.02%,82.64%,44.80%,-0.26,4.20,0.67,1.39
18 Jun 2026,402.99,43.54%,78.88%,44.50%,-0.22,4.02,0.58,1.17
17 Jul 2026,404.03,44.05%,69.10%,44.97%,-0.09,2.54,0.43,0.99
21 Aug 2026,405.63,44.45%,63.19%,45.02%,-0.08,1.75,0.85,1.56
18 Sept 2026,406.49,44.53%,60.10%,45.10%,-0.06,1.48,0.77,1.26
16 Oct 2026,407.54,45.07%,57.92%,45.48%,-0.06,1.19,3.11,3.26
20 Nov 2026,408.65,45.31%,56.41%,45.80%,-0.03,1.02,0.80,1.22
18 Dec 2026,409.95,45.61%,55.42%,46.09%,-0.01,0.82,0.50,1.19
15 Jan 2027,410.78,45.90%,54.63%,46.36%,-0.00,0.67,0.38,1.17
19 Mar 2027,413.48,45.67%,53.25%,46.18%,-0.01,0.78,3.92,1.64
17 Jun 2027,416.98,46.06%,52.32%,46.56%,0.00,0.63,2.26,2.01
17 Dec 2027,423.22,47.03%,51.35%,47.39%,0.01,0.41,1.28,1.67
21 Jan 2028,424.38,47.17%,51.58%,47.44%,-0.00,0.39,1.14,1.59
15 Dec 2028,435.25,47.95%,51.04%,48.22%,-0.00,0.33,1.75,0.65
